grid_id,LDAC_suitability_elec,LDAC_suitability_gas,LDAC combined
852d93bbfffffff,0,0,0
852d93c3fffffff,0,0,0
852d93c7fffffff,0,0,0
852d93cbfffffff,0,0,0
852d93cffffffff,0,0,0
852d93d3fffffff,0,0,0
852d93d7fffffff,0,0,0
852d93dbfffffff,0,0,0
852d9423fffffff,2.6,0,2.6
852d9427fffffff,0,0,0
852d942ffffffff,0,0,0
852d9437fffffff,0,0,0
852d9543fffffff,0,0,0
852d9547fffffff,0,0,0
852d954bfffffff,0,0,0
852d954ffffffff,0,0,0
852d9553fffffff,0,0,0
852d955bfffffff,0,0,0
852d9563fffffff,1.8,0,1.8
852d956bfffffff,0,0,0
852d956ffffffff,0,0,0
852d957bfffffff,0,0,0
852d960bfffffff,0,0,0
852d960ffffffff,2.6,0,2.6
852d961bfffffff,0,0,0
852d9623fffffff,0,0,0
852d9627fffffff,0,0,0
852d962bfffffff,0,0,0
852d962ffffffff,0,0,0
852d963bfffffff,0,0,0
852d9643fffffff,0,0,0
852d9647fffffff,0,0,0
852d964bfffffff,0,0,0
852d964ffffffff,0,0,0
852d9653fffffff,0,0,0
852d9657fffffff,0,0,0
852d965bfffffff,0,0,0
852d9663fffffff,0,0,0
852d9667fffffff,0,0,0
852d966bfffffff,0,0,0
852d966ffffffff,0,0,0
852d9673fffffff,0,0,0
852d9677fffffff,0,0,0
852d967bfffffff,0,0,0
852d96c3fffffff,0,0,0
852d96c7fffffff,2.6,0,2.6
852d96cbfffffff,0,0,0
852d96cffffffff,0,0,0
852d96dbfffffff,0,0,0
852d9a03fffffff,4.4,0,4.4
852d9a0bfffffff,4.6,0,4.6
852d9a13fffffff,4,0,4
852d9a1bfffffff,5,0,5
852d9a43fffffff,4.6,0,4.6
852d9a47fffffff,4.6,0,4.6
852d9a4bfffffff,4.2,0,4.2
852d9a4ffffffff,4.2,0,4.2
852d9a53fffffff,5,0,5
852d9a57fffffff,4.6,0,4.6
852d9a5bfffffff,4.6,0,4.6
852d9a63fffffff,3.6,0,3.6
852d9a6bfffffff,3.8,0,3.8
852d9a6ffffffff,3.2,0,3.2
852d9a73fffffff,4.6,0,4.6
852d9a7bfffffff,4.2,0,4.2
852d9a83fffffff,3.6,0,3.6
852d9a8bfffffff,4.2,0,4.2
852d9a93fffffff,3.2,0,3.2
852d9a9bfffffff,3.6,0,3.6
852d9ac3fffffff,5,0,5
852d9ac7fffffff,4.6,0,4.6
852d9acbfffffff,5,0,5
852d9acffffffff,5,0,5
852d9ad3fffffff,4,0,4
852d9ad7fffffff,4,0,4
852d9adbfffffff,4.4,0,4.4
852d9c4bfffffff,0,0,0
852d9c5bfffffff,1.4,0,1.4
852d9e03fffffff,0,0,0
852d9e07fffffff,0,0,0
852d9e0bfffffff,0,0,0
852d9e0ffffffff,0,0,0
852d9e13fffffff,0,0,0
852d9e17fffffff,0,0,0
852d9e1bfffffff,0,0,0
852d9e23fffffff,0,0,0
852d9e2bfffffff,3.2,0,3.2
852d9e33fffffff,0,0,0
852d9e3bfffffff,0,0,0
852d9e43fffffff,1.4,0,1.4
852d9e47fffffff,2,0,2
852d9e4bfffffff,1.8,0,1.8
852d9e4ffffffff,2.4,0,2.4
852d9e53fffffff,1.4,0,1.4
852d9e57fffffff,1.4,0,1.4
852d9e5bfffffff,1.4,0,1.4
852d9e63fffffff,3,0,3
852d9e67fffffff,3.2,0,3.2
852d9e6bfffffff,3.4,0,3.4
852d9e6ffffffff,3.6,0,3.6
852d9e73fffffff,2,0,2
852d9e77fffffff,2.6,0,2.6
852d9e7bfffffff,3,0,3
852d9e83fffffff,0,0,0
852d9e87fffffff,0,0,0
852d9e8bfffffff,0,0,0
852d9e8ffffffff,0,0,0
852d9e93fffffff,1.4,0,1.4
852d9e97fffffff,1.4,0,1.4
852d9e9bfffffff,1.4,0,1.4
852d9ea3fffffff,0,0,0
852d9eabfffffff,0,0,0
852d9eaffffffff,0,0,0
852d9eb3fffffff,0,0,0
852d9ebbfffffff,0,0,0
852d9ec3fffffff,0,0,0
852d9ec7fffffff,0,0,0
852d9ecbfffffff,0,0,0
852d9ecffffffff,0,0,0
852d9ed3fffffff,1.4,0,1.4
852d9ed7fffffff,1.4,0,1.4
852d9edbfffffff,0,0,0
853e4907fffffff,4.4,0,4.4
853e4913fffffff,4.4,0,4.4
853e4917fffffff,4.4,0,4.4
853e4923fffffff,4.4,0,4.4
853e4927fffffff,4,0,4
853e492bfffffff,4.4,0,4.4
853e492ffffffff,4.4,0,4.4
853e4933fffffff,4,0,4
853e4937fffffff,4,0,4
853e493bfffffff,5,0,5
853e4983fffffff,0,0,0
853e4987fffffff,0,0,0
853e498bfffffff,0,0,0
853e498ffffffff,3.8,0,3.8
853e4993fffffff,0,0,0
853e4997fffffff,0,0,0
853e499bfffffff,0,0,0
853e49a3fffffff,3.8,0,3.8
853e49a7fffffff,3.8,0,3.8
853e49abfffffff,4.4,0,4.4
853e49affffffff,4,0,4
853e49b3fffffff,3.4,0,3.4
853e49b7fffffff,3.2,0,3.2
853e49bbfffffff,3.8,0,3.8
853e4d03fffffff,0,0,0
853e4d07fffffff,0,0,0
853e4d0bfffffff,0,0,0
853e4d0ffffffff,0,0,0
853e4d13fffffff,0,0,0
853e4d17fffffff,0,0,0
853e4d1bfffffff,0,0,0
853e4d23fffffff,0,0,0
853e4d27fffffff,0,0,0
853e4d2bfffffff,0,0,0
853e4d2ffffffff,0,0,0
853e4d33fffffff,0,0,0
853e4d37fffffff,0,0,0
853e4d3bfffffff,0,0,0
853e4d67fffffff,0,0,0
853e4d73fffffff,0,0,0
853e4d77fffffff,0,0,0
853e4d83fffffff,0,0,0
853e4d87fffffff,0,0,0
853e4d8bfffffff,0,0,0
853e4d8ffffffff,0,0,0
853e4d93fffffff,2.6,0,2.6
853e4d97fffffff,0,0,0
853e4d9bfffffff,0,0,0
853e4da3fffffff,0,0,0
853e4da7fffffff,0,0,0
853e4dabfffffff,0,0,0
853e4daffffffff,0,0,0
853e4db3fffffff,0,0,0
853e4db7fffffff,0,0,0
853e4dbbfffffff,0,0,0
853e4dc7fffffff,0,0,0
853e4dd3fffffff,2.6,0,2.6
853e4dd7fffffff,0,0,0
853e6803fffffff,2.2,0,2.2
853e6807fffffff,2.6,0,2.6
853e680bfffffff,2.6,0,2.6
853e680ffffffff,2.2,0,2.2
853e681bfffffff,2.6,0,2.6
853e6823fffffff,2.2,0,2.2
853e6827fffffff,2.2,0,2.2
853e682bfffffff,2.2,0,2.2
853e682ffffffff,2.2,0,2.2
853e6833fffffff,2.6,0,2.6
853e6837fffffff,2.2,0,2.2
853e683bfffffff,2.6,0,2.6
853e6847fffffff,2.6,0,2.6
853e6863fffffff,2.6,0,2.6
853e6867fffffff,2.6,0,2.6
853e686bfffffff,2.6,0,2.6
853e686ffffffff,2.6,0,2.6
853e6873fffffff,2.6,0,2.6
853e6877fffffff,2.2,0,2.2
853e687bfffffff,2.6,0,2.6
853e6903fffffff,2.2,0,2.2
853e6907fffffff,2.2,0,2.2
853e690bfffffff,2.2,0,2.2
853e690ffffffff,2.2,0,2.2
853e6913fffffff,2.2,0,2.2
853e6917fffffff,0,0,0
853e691bfffffff,2.6,0,2.6
853e6923fffffff,2.2,0,2.2
853e6927fffffff,0,0,0
853e692bfffffff,2.6,0,2.6
853e692ffffffff,2.2,0,2.2
853e6933fffffff,2.6,0,2.6
853e6937fffffff,0,0,0
853e693bfffffff,2.6,0,2.6
853e6943fffffff,2.2,0,2.2
853e6947fffffff,2.6,0,2.6
853e694bfffffff,2.2,0,2.2
853e694ffffffff,2.2,0,2.2
853e6953fffffff,2.6,0,2.6
853e6957fffffff,2.6,0,2.6
853e695bfffffff,2.2,0,2.2
853e6963fffffff,2.6,0,2.6
853e6967fffffff,2.6,0,2.6
853e696bfffffff,2.6,0,2.6
853e696ffffffff,2.6,0,2.6
853e6973fffffff,2.6,0,2.6
853e6977fffffff,2.6,0,2.6
853e697bfffffff,2.6,0,2.6
853e6987fffffff,0,0,0
853e698ffffffff,2.2,0,2.2
853e69a3fffffff,0,0,0
853e69a7fffffff,0,0,0
853e69abfffffff,0,0,0
853e69affffffff,0,0,0
853e69b3fffffff,0,0,0
853e69b7fffffff,0,0,0
853e69bbfffffff,0,0,0
853e69c7fffffff,2.2,0,2.2
853e69cbfffffff,2.2,0,2.2
853e69cffffffff,2.6,0,2.6
853e6a23fffffff,2.6,0,2.6
853e6a27fffffff,2.6,0,2.6
853e6a33fffffff,2.6,0,2.6
853e6a37fffffff,2.6,0,2.6
853e6a3bfffffff,2.6,0,2.6
853e6aa3fffffff,0,0,0
853e6aa7fffffff,2.6,0,2.6
853e6aaffffffff,2.6,0,2.6
853e6ab7fffffff,0,0,0
853e6b03fffffff,2.2,0,2.2
853e6b07fffffff,2.2,0,2.2
853e6b0bfffffff,2.2,0,2.2
853e6b0ffffffff,2.2,0,2.2
853e6b13fffffff,2.2,0,2.2
853e6b17fffffff,2.6,0,2.6
853e6b1bfffffff,2.2,0,2.2
853e6b23fffffff,2.6,0,2.6
853e6b27fffffff,2.2,0,2.2
853e6b2bfffffff,2.6,0,2.6
853e6b2ffffffff,2.6,0,2.6
853e6b33fffffff,2.6,0,2.6
853e6b37fffffff,2.6,0,2.6
853e6b3bfffffff,2.6,0,2.6
853e6b47fffffff,2.6,0,2.6
853e6b53fffffff,2.6,0,2.6
853e6b57fffffff,2.6,0,2.6
853e6b63fffffff,2.2,0,2.2
853e6b67fffffff,2.2,0,2.2
853e6b6bfffffff,2.6,0,2.6
853e6b6ffffffff,2.2,0,2.2
853e6b73fffffff,2.2,0,2.2
853e6b77fffffff,2.2,0,2.2
853e6b7bfffffff,2.6,0,2.6
853e6b83fffffff,2.6,0,2.6
853e6b87fffffff,2.2,0,2.2
853e6b8bfffffff,2.2,0,2.2
853e6b8ffffffff,2.2,0,2.2
853e6b93fffffff,2.6,0,2.6
853e6b97fffffff,2.2,0,2.2
853e6b9bfffffff,2.6,0,2.6
853e6ba3fffffff,2.6,0,2.6
853e6ba7fffffff,2.6,0,2.6
853e6babfffffff,2.6,0,2.6
853e6baffffffff,2.6,0,2.6
853e6bb3fffffff,2.2,0,2.2
853e6bb7fffffff,2.6,0,2.6
853e6bbbfffffff,2.2,0,2.2
853e6bc3fffffff,2.2,0,2.2
853e6bc7fffffff,2.2,0,2.2
853e6bcbfffffff,2.6,0,2.6
853e6bcffffffff,2.2,0,2.2
853e6bd3fffffff,2.6,0,2.6
853e6bd7fffffff,2.2,0,2.2
853e6bdbfffffff,2.6,0,2.6
85438443fffffff,0,0,0
8543844bfffffff,0,0,0
8543844ffffffff,0,0,0
8543845bfffffff,0,0,0
85438603fffffff,0,0,0
85438607fffffff,0,0,0
8543860bfffffff,0,0,0
8543860ffffffff,0,0,0
85438613fffffff,0,0,0
85438617fffffff,0,0,0
8543861bfffffff,0,0,0
85438643fffffff,0,0,0
85438647fffffff,0,0,0
8543864bfffffff,0,0,0
8543864ffffffff,0,0,0
85438653fffffff,0,0,0
85438657fffffff,0,0,0
8543865bfffffff,0,0,0
85438673fffffff,0,0,0
85438683fffffff,0,0,0
85438687fffffff,0,0,0
8543868bfffffff,0,0,0
8543868ffffffff,0,0,0
85438693fffffff,0,0,0
85438697fffffff,0,0,0
8543869bfffffff,0,0,0
854386abfffffff,0,0,0
854386b3fffffff,0,0,0
854386bbfffffff,0,0,0
854386c3fffffff,0,0,0
854386c7fffffff,0,0,0
854386cbfffffff,0,0,0
854386cffffffff,0,0,0
854386d3fffffff,0,0,0
854386d7fffffff,0,0,0
854386dbfffffff,0,0,0
85439403fffffff,0,0,0
85439407fffffff,0,0,0
8543940bfffffff,0,0,0
8543940ffffffff,0,0,0
85439413fffffff,0,0,0
85439417fffffff,0,0,0
8543941bfffffff,0,0,0
